/ http://dndtools.eu/feats/

.Feat; Description
Theocrat; You have the delicate touch needed to maintain the favor of your patron deity and the political skills needed to survive in the trenches of bureaucratic warfare common in the lands ruled by agents of the Mulhorandi pantheon.
Thick-Skinned; Your tough hide grants improved damage reduction.
Thicken Mucus; An aboleth with this feat can produce mucus that is thicker than normal, and other creatures fi nd it diffi cult to swim through.
Third Time's the Charm ; Your deity smiles upon you.
Thrall Bred; You were spawned in the breeding pits of the mind fl ayers or the beholders. You were bred for unusual strength, hardiness, and loyalty to your unhuman masters, and you can now choose to bestow your loyalty on other worthy masters.
Thrall to Demon; The character formally supplicates himself to a demon prince. In return for his obedience, the character gains a small measure of power.
Thrall to Demon; You formally become a supplicant to a demon lord. In return for your obedience, you gain a small measure of that demon lord's power.
Thrall to Demon; You formally supplicate yourself to a demon prince. In return for this obedience, you gain a small measure of the demon prince's power.
Three Mountains; You are a master of fighting with powerful bludgeoning weapons.
Thri-Kreen Carapace; Your carapace is harder than average.
Thri-Kreen Claw; You can use your metaphysical claw psi-like ability more often.
Thri-Kreen Displacement; You can use your psionic displacement psi-like ability more often.
Thri-Kreen Poison; You can use your poison bite more often.
Throat Punch; By making a precise punch to the throat, you can render a target unable to speak effectively.
Throw Anything; In your hands, any weapon becomes a deadly ranged weapon.
Thug; You have a knack for getting the jump on the competition and pushing other people around. While others debate, you act.
Thug; Your people know how to get the jump on the competition and push other people around. While others debate, you act. Regions: Calimshan, Dragon Coast, Moonsea, Nelanther Isles, Unther, the Vast, Vilhon Reach, Waterdeep.
Thunder Twin; You are one of the dwarven generation of twins born after Moradin's Thunder Blessing in the Year of Thunder (1306 DR). Â· Regions: Gold dwarf, shield dwarf. 
Thunder Twin; You are one of the generation of dwarf twins born after Moradin's Thunder Blessing in the Year of Thunder.
Thunderclap; You create a cone of deafening sound by clapping two limbs together.
Thundering Rage; Your rage attacks can cause thunderous roars that can deafen opponents.
Tiger Blooded; The Tiger Claw discipline teaches students to mimic the rampant, feral qualities of a wild animal. When you assume an animal form, or at least descend into a wild, bestial state, mi strike with superior strength and accuracy.
Timely Misdirection; You can divert an opponent's attention to avoid its attacks.
Tireless; You don't know the meaning of the word &quot;quit.&quot; 
Titan Fighting; You have been trained to fight larger creatures, and you are adept at dodging their attacks.
Tomb-Born Fortitude; The power of undeath taints you, body and soul. Its power has hardened your flesh and given it the foul look of the grave.
Tomb-Born Resilience; The power of undeath taints you, deadening your mind and body to the effects of mindcontrolling magic, poison, and disease.
Tomb-Born Vitality; The power of undeath taints you, body and soul. Its power has removed your need to sleep and eat.
Tomb-Tainted Soul; Your soul is tainted by the foul touch of undeath.
Toothed Blow; You are able to hammer your foes more effectively underwater.
Tormented Knight; You are inexorably bound to the loathsome yugoloths that lurk in the Barrens of Doom and Despair, and you strive to bring misery and pain to all creatures that oppose them.
Tormtor School; You have learned House Tormtor's fighting technique from its weapon masters
Torpoid; You are sluggish and slow to react to danger, but also resistant to others' commands.
Totem Companion; Instead of an animal companion, you have your totem magical beast as a companion.
Touch Attack Specialization; Choose one of your ghost touch attacks that deals hit point damage, ability damage, or ability drain, such as Corrupting Touch. You are especially good at using this touch attack.
Touch Spell Specialization; You deal extra damage with touch spells.
Touch of Benevolence; Despite your evil alignment, you are prone to moments of benevolence and mercy.
Touch of Captivation; You are sakah, and your fiendish gift allows you to captivate people around you. Your eyes have an unnatural appearance, such as slitted or strangely colored pupils.
Touch of Deception; You are sakah, and your fiendish gift allows you to alter your appearance and trick others. When you are not disguised, you are marked by unusual hair--flaming red or blue black, sometimes streaked with a lighter color.
Touch of Distraction; Your touch briefly clouds the mind of a foe, impeding its efforts.
Touch of Golden Ice; Your touch is poisonous to evil creatures.
Touch of Hate; Because you are favored by Bane, you can transform animals into evil minions.
Touch of Healing; You can channel divine energy into healing with a touch.
Touch of Silver; Your devotion to the Silver Flame allows you to burn the Church's foes with holy energies.
Touch of Summoning; You are sakah, and your fiendish gift allows you to summon fell creatures to do your bidding. You have high and sharply angled cheekbones, sunken eyes, or a heavy brow ridge.
Touch of Taint; One of your attack forms that normally deals ability damage, ability drain, or energy drain can also deal corruption or depravity.
