/ http://dndtools.eu/spells/

.Spell; School; Verbal; Somatic; Material; Arcane; Divine; XP; Rulebook; Edition
 
Abate Dracorage; Abjuration; yes; yes; no; no; no; no; Dragons of Faerûn; Forgotten Realms (3.5); 
Suggestion; Enchantment; yes; no; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Suggestion, Mass; Enchantment; yes; no; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Summon Aspect of Bahamut; Conjuration; yes; yes; no; yes; yes; no; Races of the Dragon; Supplementals (3.5); 
Summon Babau Demon; Conjuration; yes; yes; no; no; yes; no; Planar Handbook; Supplementals (3.5); 
Summon Babau Demon; Conjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Summon Bearded Devil; Conjuration; yes; yes; no; no; yes; no; Planar Handbook; Supplementals (3.5); 
Summon Bearded Devil; Conjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Summon Bralani Eladrin; Conjuration; yes; yes; no; no; yes; no; Planar Handbook; Supplementals (3.5); 
Summon Bralani Eladrin; Conjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Summon Clockwork Mender Swarm; Conjuration; no; no; no; no; no; no; Monster Manual IV; Supplementals (3.5); 
Summon Component; Conjuration; no; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Summon Desert Ally I; Conjuration; yes; yes; no; no; yes; no; Sandstorm; Supplementals (3.5); 
Summon Desert Ally II; Conjuration; no; no; no; no; no; no; Sandstorm; Supplementals (3.5); 
Summon Desert Ally III; Conjuration; no; no; no; no; no; no; Sandstorm; Supplementals (3.5); 
Summon Desert Ally IV; Conjuration; no; no; no; no; no; no; Sandstorm; Supplementals (3.5); 
Summon Desert Ally Ix; Conjuration; no; no; no; no; no; no; Sandstorm; Supplementals (3.5); 
Summon Desert Ally V; Conjuration; no; no; no; no; no; no; Sandstorm; Supplementals (3.5); 
Summon Desert Ally Vi; Conjuration; no; no; no; no; no; no; Sandstorm; Supplementals (3.5); 
Summon Desert Ally Vii; Conjuration; no; no; no; no; no; no; Sandstorm; Supplementals (3.5); 
Summon Desert Ally Viii; Conjuration; no; no; no; no; no; no; Sandstorm; Supplementals (3.5); 
Summon Devoted Roc; Conjuration; yes; yes; no; no; yes; no; Races of the Wild; Supplementals (3.5); 
Summon Dire Hawk; Conjuration; yes; yes; no; no; yes; no; Races of the Wild; Supplementals (3.5); 
Summon Elemental Monolith; Conjuration; yes; yes; yes; no; yes; no; Complete Arcane; Supplementals (3.5); 
Summon Elemental Monolith; Conjuration; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Summon Elementite Swarm; Conjuration; yes; yes; no; no; no; no; Planar Handbook; Supplementals (3.5); 
Summon Elementite Swarm; Conjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Summon Elysian Thrush; Conjuration; yes; yes; no; no; yes; no; Planar Handbook; Supplementals (3.5); 
Summon Elysian Thrush; Conjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Summon Giants; Conjuration; yes; yes; no; yes; yes; no; Frostburn; Supplementals (3.5); 
Summon Golem; Conjuration; yes; yes; no; yes; no; no; Player's Handbook II; Supplementals (3.5); 
Summon Greater Elemental; Conjuration; yes; yes; no; no; yes; no; Planar Handbook; Supplementals (3.5); 
Summon Greater Elemental; Conjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Summon Holy Symbol; Conjuration; yes; yes; no; no; no; no; Complete Champion; Supplementals (3.5); 
Summon Hound Archon; Conjuration; yes; yes; no; no; yes; no; Planar Handbook; Supplementals (3.5); 
Summon Hound Archon; Conjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Summon Instrument; Conjuration; yes; yes; no; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Summon Instrument; Conjuration; yes; yes; no; no; no; no; Song and Silence: A Guidebook to Bards and Rogues; Supplementals (3.0); 
Summon Living Dragonmark; Conjuration; yes; yes; no; no; no; no; Dragonmarked; Eberron (3.5); 
Summon Marked Homunculus; Conjuration; yes; yes; yes; no; no; no; Dragonmarked; Eberron (3.5); 
Summon Monster I; Conjuration; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Monster II; Conjuration; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Monster III; Conjuration; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Monster IV; Conjuration; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Monster IX; Conjuration; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Monster V; Conjuration; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Monster VI; Conjuration; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Monster VII; Conjuration; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Monster VIII; Conjuration; yes; yes; no; yes; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Nature's Ally I; Conjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Nature's Ally II; Conjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Nature's Ally III; Conjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Nature's Ally IV; Conjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Nature's Ally IX; Conjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Nature's Ally V; Conjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Nature's Ally VI; Conjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Nature's Ally VII; Conjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Nature's Ally VIII; Conjuration; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Pest Swarm; Conjuration; yes; yes; yes; no; no; no; CityScape; Supplementals (3.5); 
Summon Swarm; Conjuration; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Summon Undead I; Conjuration; yes; yes; no; yes; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Summon Undead I; Conjuration; yes; yes; no; yes; yes; no; Heroes of Horror; Supplementals (3.5); 
Summon Undead I; Conjuration; yes; yes; no; yes; yes; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Summon Undead I; Conjuration; yes; yes; no; yes; yes; no; Spell Compendium; Supplementals (3.5); 
Summon Undead I; Conjuration; yes; yes; no; yes; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Summon Undead I; Conjuration; yes; yes; no; yes; no; no; Ghostwalk; Supplementals (3.0); 
Summon Undead II; Conjuration; no; no; no; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Summon Undead II; Conjuration; no; no; no; no; no; no; Heroes of Horror; Supplementals (3.5); 
Summon Undead II; Conjuration; no; no; no; no; no; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Summon Undead II; Conjuration; yes; yes; no; yes; yes; no; Spell Compendium; Supplementals (3.5); 
Summon Undead II; Conjuration; no; no; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Summon Undead II; Conjuration; no; no; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Summon Undead III; Conjuration; no; no; no; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Summon Undead III; Conjuration; no; no; no; no; no; no; Heroes of Horror; Supplementals (3.5); 
Summon Undead III; Conjuration; no; no; no; no; no; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Summon Undead III; Conjuration; yes; yes; no; yes; yes; no; Spell Compendium; Supplementals (3.5); 
Summon Undead III; Conjuration; no; no; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Summon Undead III; Conjuration; no; no; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Summon Undead IV; Conjuration; no; no; no; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Summon Undead IV; Conjuration; no; no; no; no; no; no; Heroes of Horror; Supplementals (3.5); 
Summon Undead IV; Conjuration; no; no; no; no; no; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Summon Undead IV; Conjuration; yes; yes; no; yes; yes; no; Spell Compendium; Supplementals (3.5); 
Summon Undead IV; Conjuration; no; no; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Summon Undead IV; Conjuration; no; no; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Summon Undead V; Conjuration; no; no; no; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Summon Undead V; Conjuration; no; no; no; no; no; no; Heroes of Horror; Supplementals (3.5); 
Summon Undead V; Conjuration; no; no; no; no; no; no; Libris Mortis: The Book of Undead; Supplementals (3.5); 
Summon Undead V; Conjuration; yes; yes; no; yes; yes; no; Spell Compendium; Supplementals (3.5); 
Summon Undead V; Conjuration; no; no; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Summon Undead V; Conjuration; no; no; no; no; no; no; Ghostwalk; Supplementals (3.0); 
Summon Warforged Champion; Conjuration; yes; yes; no; no; yes; no; Faiths of Eberron; Eberron (3.5); 
Summon Weapon; Conjuration; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Summoning Wind; Transmutation; yes; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Summoning Wind; Transmutation; yes; yes; no; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Sun Bolt; Evocation; yes; yes; no; no; no; no; Shining South; Forgotten Realms (3.5); 
Sun Scepter; Conjuration; yes; yes; no; no; yes; no; Lost Empires of Faerûn; Forgotten Realms (3.5); 
Sunbeam; Evocation; yes; yes; no; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Sunburst; Evocation; yes; yes; yes; no; yes; no; Player's Handbook v.3.5; Core (3.5); 
Sunmantle; Abjuration; no; yes; no; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Sunrise; Evocation; yes; yes; no; no; yes; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Sunstroke; Necromancy; yes; yes; no; no; no; no; Sandstorm; Supplementals (3.5); 
Superior Darkvision; Transmutation; yes; yes; yes; no; no; no; Unapproachable East; Forgotten Realms (3.5); 
Superior Invisibility; Illusion; yes; yes; no; no; no; no; Complete Arcane; Supplementals (3.5); 
Superior Resistance; Abjuration; yes; yes; yes; no; yes; no; Savage Species; Supplementals (3.0); 
Suppress Breath Weapon; Enchantment; yes; no; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Suppress Breath Weapon; Enchantment; yes; no; no; no; no; no; Draconomicon; Supplementals (3.5); 
Suppress Dragonmark; Abjuration; no; yes; no; yes; no; no; Magic of Eberron; Eberron (3.5); 
Suppress Flame; Transmutation; yes; yes; no; no; no; no; Frostburn; Supplementals (3.5); 
Suppress Glyph; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Suppress Glyph; Transmutation; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Suppress Legacy; Necromancy; yes; yes; no; no; no; no; Weapons of Legacy; Supplementals (3.5); 
Suppress Magic; Abjuration; yes; yes; no; no; no; no; Magic of Incarnum; Supplementals (3.5); 
Suppress Requirement; Transmutation; no; yes; yes; no; no; no; Eberron Campaign Setting; Eberron (3.5); 
Supreme Blade Parry; Iron Heart; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Sure Strike; Divination; yes; no; no; no; no; no; Player's Handbook II; Supplementals (3.5); 
Surefoot; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Surefoot; Abjuration; yes; yes; no; no; no; no; Magic of Faerûn; Forgotten Realms (3.0); 
Surefooted Stride; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Surefooted Stride, Mass; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Surelife; Abjuration; yes; yes; yes; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Surelife; Abjuration; yes; yes; yes; no; no; no; Sandstorm; Supplementals (3.5); 
Surelife; Abjuration; yes; yes; yes; no; no; no; Faiths & Pantheons; Forgotten Realms (3.0); 
Surelife; Abjuration; yes; yes; yes; no; no; no; Deities and Demigods; Supplementals (3.0); 
Surelife; Abjuration; yes; yes; yes; no; no; no; Ghostwalk; Supplementals (3.0); 
Surelife; Abjuration; yes; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Surge of Fortune; Transmutation; yes; yes; no; no; yes; no; Complete Champion; Supplementals (3.5); 
Suspend Disease; Abjuration; yes; yes; yes; no; no; no; Book of Vile Darkness; Supplementals (3.0); 
Suspended Silence; Illusion; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Suspension; Transmutation; yes; yes; yes; no; no; no; Shining South; Forgotten Realms (3.5); 
Sustain; Transmutation; yes; yes; yes; no; no; no; Book of Exalted Deeds; Supplementals (3.5); 
Sustain; Transmutation; yes; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Susurrus of the City; Divination; yes; no; no; no; yes; yes; Dragon Compendium; Supplementals (3.5); 
Swamp Lung; Conjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Swamp Stride; Conjuration; yes; yes; no; no; yes; no; Spell Compendium; Supplementals (3.5); 
Swarm Tactics; White Raven; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Swarming Assault; White Raven; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Sweet Water; Divination; yes; yes; yes; no; no; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Swift Ready; Conjuration; yes; yes; no; no; no; no; The Forge of War; Eberron (3.5); 
Swim; Transmutation; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Swim; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Swim; Transmutation; yes; yes; yes; no; no; no; Stormwrack; Supplementals (3.5); 
Swim; Transmutation; yes; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Swim, Mass; Transmutation; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Swooping Dragon Strike; Tiger Claw; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Sword and Hammer; Evocation; no; no; no; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Sword and Hammer, Greater; Evocation; no; no; no; no; no; no; Player's Guide to Faerûn; Forgotten Realms (3.5); 
Sword of Conscience; Enchantment; yes; no; no; no; yes; no; Book of Exalted Deeds; Supplementals (3.5); 
Sword of Darkness; Necromancy; yes; yes; yes; no; no; no; Complete Arcane; Supplementals (3.5); 
Sword of Darkness; Necromancy; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Sword of Darkness; Necromancy; yes; yes; yes; no; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Sword of Deception; Evocation; yes; yes; no; yes; no; no; Complete Arcane; Supplementals (3.5); 
Sword of Deception; Evocation; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Sword of Deception; Evocation; yes; yes; no; yes; no; no; Oriental Adventures; Oriental Adventures (3.0); 
Sword Stream; Evocation; yes; yes; no; no; no; no; Defenders of the Faith: A Guidebook to Clerics and Paladins; Supplementals (3.0); 
Symbol; Universal; yes; yes; yes; no; yes; no; Magic of Faerûn; Forgotten Realms (3.0); 
Symbol; Universal; yes; yes; yes; no; yes; no; Player's Handbook 3.0; Core (3.0); 
Symbol of Death; Necromancy; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Symbol of Fear; Necromancy; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Symbol of Insanity; Enchantment; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Symbol of Pain; Necromancy; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Symbol of Persuasion; Enchantment; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Symbol of Sleep; Enchantment; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Symbol of Spell Loss; Abjuration; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Symbol of Stunning; Enchantment; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Symbol of Thirst; Enchantment; yes; yes; yes; no; no; no; Sandstorm; Supplementals (3.5); 
Symbol of Weakness; Necromancy; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Sympathetic Vibration; Evocation; yes; yes; no; yes; no; no; Player's Handbook v.3.5; Core (3.5); 
Sympathetic Vibration; Evocation; yes; yes; yes; no; no; no; Song and Silence: A Guidebook to Bards and Rogues; Supplementals (3.0); 
Sympathy; Enchantment; yes; yes; yes; no; no; no; Player's Handbook v.3.5; Core (3.5); 
Symphonic Nightmare; Enchantment; yes; yes; no; yes; no; no; Champions of Ruin; Forgotten Realms (3.5); 
Symphonic Nightmare; Enchantment; yes; yes; no; yes; no; no; Spell Compendium; Supplementals (3.5); 
Synostodweomer; Transmutation; yes; yes; no; no; no; no; Spell Compendium; Supplementals (3.5); 
Tactical Precision; Divination; yes; yes; yes; no; no; no; Complete Adventurer; Supplementals (3.5); 
Tactical Precision; Divination; yes; yes; yes; no; no; no; Spell Compendium; Supplementals (3.5); 
Tactical Strike; White Raven; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Tactical Teleportation; Conjuration; yes; yes; no; no; no; no; Complete Mage; Supplementals (3.5); 
Tactics of the Wolf; White Raven; no; no; no; no; no; no; Tome of Battle: The Book of Nine Swords; Supplementals (3.5); 
Tail Slap; Evocation; yes; yes; no; no; no; no; Races of the Dragon; Supplementals (3.5); 
Tail Sweep; Evocation; yes; yes; no; no; no; no; Races of the Dragon; Supplementals (3.5); 
